Gender,Grade,Subject,Class_Level,Attendance,Test_Score,Homework_Score,Participation_Score
Male,D,Math,Freshman,Poor,64,65,0.35
Male,E,History,Freshman,Average,74,58,0.26
Female,D,English,Sophomore,Average,94,80,0.28
Male,E,History,Junior,Poor,59,92,0.6
Male,C,History,Sophomore,Excellent,95,57,0.88
Male,E,History,Junior,Poor,63,86,0.56
Male,A,Math,Freshman,Good,54,63,0.52
Male,A,Math,Sophomore,Average,76,79,0.19
Female,E,Math,Junior,Excellent,76,94,0.24
Male,C,History,Junior,Poor,71,66,0.41
Male,C,English,Sophomore,Excellent,84,99,0.56
Male,A,Math,Senior,Good,79,73,0.24
Male,C,Science,Junior,Average,76,60,0.48
Male,D,Science,Freshman,Poor,53,88,0.71
Male,B,Science,Junior,Excellent,63,88,0.45
Male,D,Geography,Freshman,Average,76,97,0.02
Female,A,History,Sophomore,Average,74,95,0.29
Male,C,Science,Junior,Excellent,99,57,0.4
Female,E,History,Freshman,Average,87,99,0.24
Female,B,Science,Freshman,Average,94,60,0.66
Male,E,English,Sophomore,Poor,51,69,0.37
Male,A,History,Junior,Average,98,56,0.55
Female,C,Science,Junior,Poor,86,87,0.34
Female,E,Math,Sophomore,Average,74,51,1
Female,E,History,Junior,Good,80,69,0.55
Male,B,Geography,Sophomore,Good,50,86,0.35
Male,B,Math,Junior,Poor,72,93,0.45
Female,C,Math,Senior,Poor,69,74,0.31
Male,B,Geography,Junior,Good,98,75,0.23
Male,E,Math,Freshman,Average,74,95,0.72
Female,E,Math,Freshman,Poor,76,62,0.32
Male,A,Science,Senior,Excellent,84,54,0.74
Female,E,Science,Junior,Average,97,87,0.95
Female,C,History,Freshman,Average,97,94,0.69
Female,D,History,Freshman,Good,84,90,0.19
Male,A,History,Junior,Poor,88,65,0.74
Female,A,Science,Sophomore,Average,64,56,0.28
Male,C,History,Junior,Poor,81,94,0.59
Female,C,Math,Sophomore,Poor,64,99,0.76
Male,B,Science,Senior,Poor,67,69,0.6
Female,A,History,Senior,Good,77,93,0.98
Female,B,Math,Freshman,Poor,81,88,0.83
Male,E,History,Freshman,Good,51,57,0.3
Male,A,English,Freshman,Excellent,74,100,0.36
Male,A,History,Sophomore,Average,71,86,0.3
Male,D,English,Freshman,Average,92,100,0.71
Female,B,Science,Junior,Excellent,89,54,0.75
Female,C,Math,Freshman,Excellent,84,82,0.1
Male,E,Geography,Junior,Good,51,91,0.01
Female,E,Geography,Sophomore,Poor,75,71,0.28
Female,D,Math,Sophomore,Excellent,87,50,0.48
Male,B,English,Freshman,Poor,86,76,0.34
Female,E,Math,Junior,Poor,92,81,0.97
Male,B,Math,Senior,Good,51,56,0.25
Male,C,Geography,Sophomore,Poor,55,77,0.86
Male,D,History,Sophomore,Poor,91,73,0.11
Male,C,Geography,Sophomore,Poor,77,90,0.07
Female,D,Geography,Sophomore,Good,58,79,0.49
Female,E,Science,Senior,Good,79,95,0.58
Female,D,Math,Freshman,Excellent,61,59,0.69
Male,A,Geography,Sophomore,Excellent,53,77,0.15
Female,B,Math,Junior,Poor,66,61,0.81
Male,B,Science,Senior,Good,74,96,0.95
Male,A,Math,Sophomore,Good,70,83,0.09
Male,C,Geography,Junior,Poor,63,91,0.25
Female,A,Math,Sophomore,Excellent,79,67,0.56
Female,E,Science,Freshman,Good,70,89,0.42
Female,E,History,Senior,Excellent,71,84,0.6
Male,B,Math,Freshman,Poor,98,99,0.62
Male,E,Geography,Senior,Good,74,80,0.78
Female,B,Science,Sophomore,Poor,67,79,0.38
Male,A,Geography,Sophomore,Average,98,77,0.91
Female,A,Geography,Senior,Poor,76,96,0.3
Female,A,Math,Junior,Poor,66,87,0.59
Female,B,Geography,Junior,Poor,55,67,0.43
Male,A,Math,Sophomore,Good,80,70,0.57
Female,A,History,Sophomore,Poor,51,65,0.06
Male,C,Geography,Freshman,Poor,97,55,0.96
Male,A,Geography,Sophomore,Average,84,67,0.1
Female,E,Geography,Senior,Good,53,78,0.76
Female,B,English,Junior,Average,72,65,0.63
Female,C,English,Junior,Poor,64,98,0.26
Female,D,Science,Freshman,Good,91,79,0.08
Male,B,English,Junior,Average,54,86,0.24
Male,E,Science,Junior,Poor,99,89,0.55
Female,B,English,Senior,Excellent,91,92,0.16
Male,E,History,Junior,Average,52,74,0.41
Male,E,Science,Freshman,Good,98,71,0.69
Male,D,English,Freshman,Average,51,51,0.47
Male,B,History,Junior,Average,65,81,0.03
Male,D,English,Sophomore,Average,62,70,0.29
Female,D,Math,Junior,Excellent,51,61,0.28
Male,B,Math,Freshman,Good,89,81,0.86
Female,A,History,Freshman,Good,59,63,0.07
