Year,Country,Athlete,Sport,Event,Gender,Medal,Score,Age,Height,Weight
2004,France,Athlete_1,Athletics,Event_1,Female,Bronze,8.05,30,1.62,67.03
1992,Japan,Athlete_2,Wrestling,Event_2,Female,Gold,9.17,25,1.57,71.78
2020,France,Athlete_3,Cycling,Event_3,Female,Gold,9.88,26,1.97,88.76
2008,Canada,Athlete_4,Judo,Event_4,Male,Silver,9.15,24,1.89,84.25
1996,Japan,Athlete_5,Boxing,Event_5,Male,Gold,8.78,18,1.94,71.37
1984,India,Athlete_6,Tennis,Event_6,Male,Silver,9.71,23,1.96,99.62
1992,Germany,Athlete_7,Gymnastics,Event_7,Male,Gold,8.33,23,1.59,74.16
2016,Russia,Athlete_8,Wrestling,Event_8,Female,Bronze,8.41,30,1.75,100.07
1984,Germany,Athlete_9,Athletics,Event_9,Male,Gold,8.53,22,1.78,74.51
1988,Russia,Athlete_10,Athletics,Event_10,Male,Gold,8.8,33,1.75,65.23
2020,India,Athlete_11,Wrestling,Event_11,Female,Bronze,9.6,19,1.83,75.98
1988,Germany,Athlete_12,Boxing,Event_12,Female,Bronze,8.35,22,1.63,56.29
1996,Russia,Athlete_13,Gymnastics,Event_13,Male,Gold,8.86,19,1.63,71.36
2020,USA,Athlete_14,Gymnastics,Event_14,Male,Gold,9.05,18,1.75,61.16
1996,Australia,Athlete_15,Boxing,Event_15,Female,Bronze,8.02,19,1.92,87.25
1992,France,Athlete_16,Tennis,Event_16,Female,Bronze,9.68,28,1.71,95.92
1980,Germany,Athlete_17,Wrestling,Event_17,Female,Gold,8.41,23,1.74,97.65
2004,Australia,Athlete_18,Athletics,Event_18,Female,Silver,8.4,31,1.97,96.01
1988,Australia,Athlete_19,Athletics,Event_19,Female,Silver,8.12,20,1.91,70.42
1992,India,Athlete_20,Wrestling,Event_20,Female,Gold,9.36,28,1.64,81.91
1980,Germany,Athlete_21,Tennis,Event_21,Male,Silver,9.79,23,1.98,65.08
1992,UK,Athlete_22,Cycling,Event_22,Male,Silver,9.74,19,1.93,61.38
2000,France,Athlete_23,Rowing,Event_23,Male,Gold,8.24,18,1.9,67.66
2008,Australia,Athlete_24,Swimming,Event_24,Male,Silver,9.29,32,1.6,51.3
1980,France,Athlete_25,Swimming,Event_25,Male,Gold,9.55,18,2.07,74.87
2000,USA,Athlete_26,Swimming,Event_26,Female,Gold,8.93,24,1.94,101.53
2016,Russia,Athlete_27,Athletics,Event_27,Female,Gold,9.89,28,1.85,52.89
2000,Canada,Athlete_28,Boxing,Event_28,Male,Silver,8.55,24,1.55,52.83
2020,USA,Athlete_29,Athletics,Event_29,Female,Gold,8.72,22,1.94,75.45
1992,China,Athlete_30,Cycling,Event_30,Male,Gold,9.68,30,1.68,82.77
1988,Russia,Athlete_31,Swimming,Event_31,Female,Gold,8.65,23,2.02,88.17
