Order ID,Product Category,Customer Region,Payment Method,Order Status,Customer Age Group,Shipping Method,Product Type,Discount Applied,Sales Channel,Order Date,Order Total ($),Quantity Ordered,Shipping Cost ($),Discount Value ($),Order Processing Time (hrs)
242b1230-0e9c-456e-918f-ba3df47e52a5,Food,West,Cash,Pending,55+,Standard,Chair,No,Online,2024-11-05,409.89,5,47.37,10.67,43
b384129a-6a70-43e4-8595-91efd9122042,Food,North,Credit Card,Completed,45-54,Express,Food Item,No,Online,2024-11-03,118.35,6,36.79,29.2,27
6bdd4f2c-5386-44ce-802d-047cf9f7ee1c,Toys,North,Cash,Shipped,35-44,Standard,T-shirt,Yes,In-store,2024-11-01,398.59,5,31.22,27.77,41
bc7e67ae-00fb-489e-967e-98cf3a1a491c,Furniture,South,PayPal,Pending,18-24,Same Day,T-shirt,No,In-store,2024-11-04,113.88,7,48.33,45.1,10
ad289f37-6e8d-4cb0-8c61-74366023295b,Furniture,North,PayPal,Pending,35-44,Same Day,Chair,No,Online,2024-11-03,13.88,10,7.09,38.26,45
4faf316e-2b0e-40bc-89a7-bbbc4d07caa0,Clothing,West,Credit Card,Shipped,25-34,Standard,Smartphone,Yes,Online,2024-11-03,361.3,1,41.15,8.61,44
770689bf-f87b-4e6f-b616-2538fe75c512,Electronics,East,Credit Card,Pending,25-34,Same Day,Chair,Yes,In-store,2024-11-02,272.58,5,42.21,23.56,35
fc88b8c1-5865-4c97-81de-86966f3bd352,Food,East,PayPal,Completed,25-34,Express,T-shirt,No,In-store,2024-11-01,305.05,4,14.82,49.65,40
2ba733d2-18e5-42b1-8c40-e15b8096d6fb,Food,North,PayPal,Pending,18-24,Standard,Food Item,Yes,Online,2024-11-03,269.66,4,40.2,16.38,19
16252296-3ee4-48c2-ab0a-521dc1e8ab9f,Furniture,North,PayPal,Shipped,35-44,Same Day,Chair,No,In-store,2024-11-01,393.2,1,13.1,40.54,10
201a93f3-fb98-43ef-8bc9-f5ac241f8173,Electronics,West,Credit Card,Shipped,35-44,Same Day,Laptop,No,Online,2024-11-01,299.2,7,24.56,4.86,25
878ec5a2-8743-412e-a65c-f2eb22b89e9c,Furniture,East,PayPal,Shipped,18-24,Standard,Food Item,No,In-store,2024-11-03,352.69,6,36.24,49.99,36
2e92a196-6c65-41b3-a980-e4e89c7862f9,Toys,East,Cash,Completed,25-34,Standard,T-shirt,Yes,Online,2024-11-04,317.05,5,16.72,24.65,42
21e75635-e6bf-409b-9f4a-bc1dc671c32e,Food,East,PayPal,Pending,18-24,Same Day,Laptop,Yes,In-store,2024-11-01,457.37,9,14.65,22.59,15
37dfa87b-402e-422c-88f8-cb88f3f4b024,Furniture,West,Cash,Shipped,35-44,Express,Smartphone,No,In-store,2024-11-04,29.12,3,22.44,22.83,34
fb319205-d497-4d3d-a964-a96366a425d1,Electronics,North,Credit Card,Completed,25-34,Same Day,Food Item,Yes,In-store,2024-11-04,23.12,6,11.01,43.68,16
51551050-3808-4c84-9bf9-7c622e1c74eb,Electronics,North,Credit Card,Completed,55+,Standard,Laptop,No,Online,2024-11-05,471.27,7,47.99,45.28,39
55737be0-0423-4cf9-b7d4-fa517220c811,Food,North,Cash,Completed,45-54,Standard,Food Item,No,Online,2024-11-01,370.82,5,30.64,3.34,16
9f43dab2-f68b-4f3b-b05d-5f880296d0ed,Clothing,West,Credit Card,Completed,55+,Standard,T-shirt,No,In-store,2024-11-03,219.54,1,22.41,32.86,32
f2b57a43-c155-4079-84ca-4f1282f16f39,Clothing,North,Credit Card,Shipped,25-34,Standard,T-shirt,Yes,Online,2024-11-03,64.0,7,16.86,48.69,40
c9478fe5-4bab-4324-b4d1-26b3baef62b8,Furniture,East,Credit Card,Pending,45-54,Express,Laptop,Yes,Online,2024-11-01,348.24,10,40.28,23.18,17
2aa95223-edeb-493f-ae0d-6aacbadba31c,Food,North,Credit Card,Completed,55+,Same Day,Smartphone,No,In-store,2024-11-01,204.01,10,36.43,6.89,32
65eb1ad2-adf3-4870-9a81-6f59bd569f17,Clothing,West,Credit Card,Completed,35-44,Express,Food Item,No,Online,2024-11-05,498.36,6,45.57,0.26,5
