Order ID,Product Category,Customer Region,Payment Method,Order Status,Customer Age Group,Shipping Method,Product Type,Discount Applied,Sales Channel,Order Date,Order Total ($),Quantity Ordered,Shipping Cost ($),Discount Value ($),Order Processing Time (hrs)
b22fa66a-9d43-4ea1-a323-992cd385970a,Electronics,North,Cash,Completed,55+,Same Day,Laptop,Yes,Online,01-11-2024,353.63,7,45.78,16.14,31
74820d6a-47ab-4348-bf64-c884ac4b8df4,Clothing,North,Cash,Shipped,35-44,Express,T-shirt,Yes,Online,02-11-2024,402.09,1,31.17,8.61,36
83657894-8811-4b43-a3dd-b4aa3e54b005,Furniture,North,PayPal,Shipped,35-44,Standard,Food Item,Yes,Online,02-11-2024,317.18,1,28.13,40.98,27
d0b6fdac-2464-4e4b-b380-6b80d82c7303,Toys,North,PayPal,Completed,45-54,Standard,Chair,No,Online,02-11-2024,411.31,10,16.62,35.81,17
418d58b1-b2b0-42ce-b3ce-f12af590afda,Clothing,East,PayPal,Pending,35-44,Express,Food Item,No,In-store,02-11-2024,385.01,1,10.66,17.41,11
128da68d-ab87-4dba-af33-8669bf5e5f29,Furniture,North,Cash,Completed,35-44,Same Day,T-shirt,No,Online,05-11-2024,301.65,7,47.81,2.05,40
bab86740-6fe8-4d1b-b23f-6f7f2520944a,Clothing,East,Cash,Shipped,18-24,Same Day,Food Item,Yes,In-store,01-11-2024,291.43,7,47.32,21.32,27
98fd573f-80d5-4e61-a956-3bcb478af896,Food,North,Cash,Shipped,45-54,Express,T-shirt,Yes,In-store,04-11-2024,293.52,10,29.06,24.74,45
66d2f6c3-1115-4319-a634-787959f442e7,Electronics,East,Cash,Pending,35-44,Same Day,Chair,No,In-store,03-11-2024,262.04,4,11.13,29.27,3
1ebee8f4-8694-4b92-8069-696ca19e4d93,Electronics,North,PayPal,Pending,35-44,Standard,Chair,Yes,In-store,02-11-2024,138.37,9,6.9,19.5,15
ed975331-8ec0-4ed2-84da-6370fabe4d1d,Food,West,PayPal,Completed,18-24,Express,Food Item,Yes,Online,05-11-2024,101.46,7,23.27,7.59,10
f66c45cd-687b-47d5-8fa2-ad2462de540d,Electronics,North,Cash,Completed,25-34,Express,Chair,No,Online,04-11-2024,458.08,2,5.29,23.03,12
e1093f27-904e-460b-b87c-844d2ac90599,Food,North,Credit Card,Pending,18-24,Same Day,Laptop,Yes,In-store,03-11-2024,443.29,5,15.73,29.12,33
237b67dd-c5b3-44b9-bce0-26033b621ac8,Electronics,East,PayPal,Completed,45-54,Same Day,Smartphone,No,Online,04-11-2024,52.04,2,7.1,4.94,6
214f9119-6b42-4c89-b7a0-ced73337f39b,Electronics,East,Cash,Pending,35-44,Express,Chair,No,Online,03-11-2024,30.03,1,38.53,21.32,10
cf24f73e-8521-4cc4-bcdb-95f607866c2b,Toys,South,PayPal,Completed,35-44,Standard,Food Item,Yes,Online,05-11-2024,19.31,9,5.91,22.42,36
1ef515ee-87f4-42c1-ad4d-aa8830a0c312,Food,East,PayPal,Pending,55+,Same Day,Chair,No,In-store,03-11-2024,456.83,9,14.55,10.1,6
fd075a3b-8449-4a8b-bbf1-07cac7303075,Clothing,South,Cash,Pending,35-44,Same Day,T-shirt,Yes,Online,03-11-2024,485.04,10,38.3,0.51,18
74ab903a-d893-41e9-80bf-3bda9742ec2c,Furniture,East,Credit Card,Completed,55+,Express,T-shirt,No,Online,05-11-2024,87.56,1,13.84,26.39,9
f6dc4fed-0a52-4d4f-929d-d502468f6f6a,Electronics,North,Cash,Completed,25-34,Same Day,Laptop,Yes,In-store,03-11-2024,81.58,2,10.66,19.98,25
fec6c099-c4c5-4fb6-9c2a-e10039a85f83,Electronics,East,Cash,Pending,55+,Standard,T-shirt,No,Online,03-11-2024,365.36,1,22.88,20.82,35
0db3e25f-525b-45b3-bdc9-9a719493ccb7,Food,South,Cash,Shipped,45-54,Same Day,Chair,No,Online,01-11-2024,448.63,6,44.76,23.42,20
