id,name,best_for_wear,gender,image_url,dominant_color,sub_color1,sub_color2
HP9426,Breaknet 2.0 Schuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2474f3034df146b58c89af2c0011f75c_9366/Breaknet_2.0_Schuh_Weiss_HP9426_01_standard.jpg",Cloud White,Core Black,Cloud White
HQ4199,Ultraboost 1.0 Laufschuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/4ff790231b7f461baee3c291e96b74af_9366/Ultraboost_1.0_Laufschuh_Schwarz_HQ4199_HM1.jpg",Core Black,Core Black,Beam Green
JQ2552,Adizero Boston 12 Laufschuh,Racing,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/7a953806c287401884d6800a3f0d8340_9366/Adizero_Boston_12_Laufschuh_Weiss_JQ2552_01_00_standard.jpg",Cloud White,Core Black,Lucid Red
JI1896,NY 90 Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/44fa0be4b301487ab5e5f928abc27262_9366/NY_90_Schuh_Weiss_JI1896_01_standard.jpg",Cloud White,Cloud White,Crystal White
IE8976,Ultraboost 1.0 Laufschuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/29602e3589a54e4aad28ba0090edbf94_9366/Ultraboost_1.0_Laufschuh_Grau_IE8976_HM1.jpg",Grey One,Grey Three,Grey One
HQ4202,Ultraboost 1.0 Laufschuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f0ca2dd8bdb84a2ab11faacb8802c4dc_9366/Ultraboost_1.0_Laufschuh_Weiss_HQ4202_HM1.jpg",Cloud White,Cloud White,Cloud White
IH5467,Breaknet Sleek Schuh,Neutral,W,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9403730c077b4221b51acf25fd197359_9366/Breaknet_Sleek_Schuh_Blau_IH5467_01_standard.jpg",Shadow Navy,Pink Spark,Off White
JI1899,NY 90 Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/e3cdf3862e0e42e7ba80bc3c2e47822e_9366/NY_90_Schuh_Weiss_JI1899_01_standard.jpg",Cloud White,Cloud White,Grey One
IF9419,Adizero Adios 9 Laufschuh,Racing,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/12ae2e974abd4d369e43b8639c7220c5_9366/Adizero_Adios_9_Laufschuh_Weiss_IF9419_HM1.jpg",Cloud White,Core Black,Silver Metallic
JI4476,Adizero Boston 12 Laufschuh,Racing,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/76a5051dfe564e58ab12b9d6d4f674f9_9366/Adizero_Boston_12_Laufschuh_Weiss_JI4476_HM1.jpg",Core White,Dark Blue,Pure Ruby
IH5751,Adizero Adios 9 Laufschuh,Racing,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/7997077b448349b2ad25e5f9f781cb19_9366/Adizero_Adios_9_Laufschuh_Schwarz_IH5751_HM1.jpg",Core Black,Core Black,Iron Metallic
HQ4201,Ultraboost 1.0 Laufschuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/bad84b99019d4386a67cd03ecc51c0a4_9366/Ultraboost_1.0_Laufschuh_Schwarz_HQ4201_HM1.jpg",Core Black,chalk white,Beam Green
HP6010,VS Pace 2.0 Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/5ca02ad6273c42e59108af4900f4acd8_9366/VS_Pace_2.0_Schuh_Weiss_HP6010_01_standard.jpg",Cloud White,Core Black,Cloud White
IF9418,Adizero Adios 9 Laufschuh,Racing,W,"https://assets.adidas.com/images/w_600,f_auto,q_auto/b4d0ab34cfb445a88d6f493027ff1eba_9366/Adizero_Adios_9_Laufschuh_Weiss_IF9418_HM1.jpg",Cloud White,Core Black,Lucid Red
HP9425,Breaknet 2.0 Schuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6585727660ea4fe1918eaf2c0018433f_9366/Breaknet_2.0_Schuh_Schwarz_HP9425_01_standard.jpg",Core Black,Cloud White,Cloud White
IE8593,Runfalcon 5 Kids Schuh,Neutral,K,"https://assets.adidas.com/images/w_600,f_auto,q_auto/8d36c7c56ce54e84a8c678351175da6c_9366/Runfalcon_5_Kids_Schuh_Weiss_IE8593_01_standard.jpg",Cloud White,Core Black,Core Black
IG7323,Racer TR23 Schuh,Neutral,M,"https://assets.adidas.com/images/w_600,f_auto,q_auto/595712d9ae664c7497e1324fd35b607e_9366/Racer_TR23_Schuh_Schwarz_IG7323_01_standard.jpg",Core Black,Cloud White,Grey Four
GW9195,Grand Court Cloudfoam Comfort Schuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6e7885e14f144b998c75368fcd5ececf_9366/Grand_Court_Cloudfoam_Comfort_Schuh_Weiss_GW9195_HM1.jpg",Cloud White,Core Black,Cloud White
IG7322,Racer TR23 Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9399d451d15e4a0e97e0f5b948a01268_9366/Racer_TR23_Schuh_Schwarz_IG7322_01_standard.jpg",Core Black,Core Black,Carbon
IE8574,Runfalcon 5 Kids Schuh,Neutral,K,"https://assets.adidas.com/images/w_600,f_auto,q_auto/82793ca0464d4259bae948705140d4be_9366/Runfalcon_5_Kids_Schuh_Schwarz_IE8574_01_standard.jpg",Core Black,Cloud White,Cloud White
JQ2554,Adizero Boston 12 Laufschuh,Racing,W,"https://assets.adidas.com/images/w_600,f_auto,q_auto/edac09cbbc8a41f28db1990b71d1458f_9366/Adizero_Boston_12_Laufschuh_Weiss_JQ2554_01_00_standard.jpg",Cloud White,Core Black,Lucid Red
IH5418,Breaknet Sleek Schuh,Neutral,W,"https://assets.adidas.com/images/w_600,f_auto,q_auto/ee187ff607df4717aaac8864ebaa796e_9366/Breaknet_Sleek_Schuh_Weiss_IH5418_01_standard.jpg",Cloud White,Cloud White,Core White
IE8589,Runfalcon 5 Kids Schuh,Neutral,K,"https://assets.adidas.com/images/w_600,f_auto,q_auto/62f1a7922a0b4ab088d66371113bfe4d_9366/Runfalcon_5_Kids_Schuh_Schwarz_IE8589_01_standard.jpg",Core Black,Cloud White,Core Black
IF9191,Pureboost 5 Laufschuh,Everyday,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a37507c846454729949187693746bd41_9366/Pureboost_5_Laufschuh_Schwarz_IF9191_01_00_standard.jpg",Core Black,Cloud White,Grey Five
HP6009,VS Pace 2.0 Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/cfb3a0bed9164feeb814af49010cbd44_9366/VS_Pace_2.0_Schuh_Schwarz_HP6009_01_standard.jpg",Core Black,Cloud White,Cloud White
IG7324,Racer TR23 Schuh,Neutral,W,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c21738713fe44ed1836b80c9d5530e69_9366/Racer_TR23_Schuh_Weiss_IG7324_01_standard.jpg",Cloud White,Cloud White,Grey Six
IF9383,Adizero SL2 Laufschuh,Racing,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/5eb530c22be94b369fec7ff9d2cbc453_9366/Adizero_SL2_Laufschuh_Weiss_IF9383_HM1.jpg",Cloud White,Royal Blue,Pure Ruby
IE5989,Tensaur Run 2.0 Kids Schuh,Neutral,K,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2e55c90984b04e17aef3e979736c6de1_9366/Tensaur_Run_2.0_Kids_Schuh_Blau_IE5989_01_standard.jpg",Bright Royal,Cloud White,Dark Blue
IH4976,VS Pace 2.0 Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/eca6755c6ab145fbb5dfcff28d184a72_9366/VS_Pace_2.0_Schuh_Grau_IH4976_01_standard.jpg",Grey One,Cloud White,Preloved Scarlet
IE0922,Tensaur Hook and Loop Schuh,Neutral,K,"https://assets.adidas.com/images/w_600,f_auto,q_auto/db5f4068e173426884a54a63a68e4080_9366/Tensaur_Hook_and_Loop_Schuh_Blau_IE0922_01_standard.jpg",Dark Blue,Cloud White,Blue Burst
IH5685,Adizero Prime X 2.0 STRUNG Laufschuh,Racing,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f6d19c5f4a554bab9b4bf49a8533a39e_9366/Adizero_Prime_X_2.0_STRUNG_Laufschuh_Weiss_IH5685_HM1.jpg",Cloud White,Core Black,Lucid Red
ID0334,Racer TR23 Kids Schuh,Neutral,K,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2e382bb49d4f41a2bb02e0ea960fefa7_9366/Racer_TR23_Kids_Schuh_Schwarz_ID0334_01_standard.jpg",Core Black,Cloud White,Solar Red
HP6005,VS Pace 2.0 Schuh,Neutral,M,"https://assets.adidas.com/images/w_600,f_auto,q_auto/84f34a70ed2749198eb0af46014ee155_9366/VS_Pace_2.0_Schuh_Blau_HP6005_01_standard.jpg",Shadow Navy,Shadow Navy,Cloud White
GW9196,Grand Court Cloudfoam Comfort Schuh,City,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/421756b633a84c3580a4ae8901801435_9366/Grand_Court_Cloudfoam_Comfort_Schuh_Schwarz_GW9196_01_00_standard.jpg",Core Black,Cloud White,Core Black
JI0382,Mullaly Low Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/01196a9c95ca49cfb4645f69ae3191ef_9366/Mullaly_Low_Schuh_Schwarz_JI0382_01_standard.jpg",Core Black,Carbon,Cloud White
JI0383,Mullaly Low Schuh,Neutral,U,"https://assets.adidas.com/images/w_600,f_auto,q_auto/60aa849a4c044a189bd58477908d0e2a_9366/Mullaly_Low_Schuh_Weiss_JI0383_01_standard.jpg",Cloud White,Cloud White,Alumina
JI4480,Adizero Boston 12 Laufschuh,Racing,W,"https://assets.adidas.com/images/w_600,f_auto,q_auto/fba091d876c144aa86afd63c1bbabe86_9366/Adizero_Boston_12_Laufschuh_Weiss_JI4480_HM1.jpg",Core White,Matte Silver,Pure Ruby
