Order ID,Product Category,Customer Region,Payment Method,Order Status,Customer Age Group,Shipping Method,Product Type,Discount Applied,Sales Channel,Order Date,Order Total ($),Quantity Ordered,Shipping Cost ($),Discount Value ($),Order Processing Time (hrs)
d7aee9a1-d825-450c-8a7e-f100a65e968c,Clothing,West,Credit Card,Pending,45-54,Standard,Food Item,Yes,Online,2024-11-01,300.3,8,8.76,40.04,15
2546adcf-fa02-4f35-bcc4-d3546f8a3eae,Electronics,South,Credit Card,Shipped,45-54,Standard,Food Item,Yes,In-store,2024-11-03,122.82,6,26.12,10.38,33
ea9ff3e1-10fb-41ba-8566-e71b145972dc,Food,South,Credit Card,Shipped,35-44,Same Day,T-shirt,Yes,Online,2024-11-01,86.42,4,20.19,41.85,29
53f89990-abe7-46bb-b3a2-6c530871448a,Electronics,East,Cash,Completed,18-24,Same Day,Smartphone,No,Online,2024-11-05,452.62,5,13.25,19.74,20
06789bfd-9f6d-49fb-b458-3796842400b3,Clothing,East,PayPal,Completed,55+,Standard,Food Item,No,In-store,2024-11-01,242.46,3,34.73,35.19,41
fc95c4d0-b23a-4346-88c9-7fd6dcab4048,Furniture,North,Credit Card,Pending,35-44,Same Day,T-shirt,Yes,In-store,2024-11-05,350.17,5,37.92,23.31,20
30bd1417-e882-497b-acc5-0a3e1333b793,Food,West,PayPal,Pending,25-34,Same Day,Chair,No,Online,2024-11-03,151.97,1,22.2,9.61,36
2faa3bed-1fc2-4dea-8923-68342d705bec,Clothing,South,Cash,Pending,35-44,Standard,Food Item,No,Online,2024-11-02,273.7,4,6.66,18.91,17
b5a8e7bc-ae72-40ac-ba92-3b48fe407fbc,Furniture,East,Cash,Pending,55+,Express,Smartphone,Yes,In-store,2024-11-05,413.32,9,46.22,21.41,16
128873f4-bf1a-4244-beef-e0ce8785b121,Furniture,West,PayPal,Pending,18-24,Standard,Smartphone,No,In-store,2024-11-05,451.3,3,16.71,45.04,15
feb04055-3bde-403b-9a13-5d071d3f9687,Toys,East,Credit Card,Pending,45-54,Express,Chair,No,Online,2024-11-02,446.8,2,26.72,48.67,47
a33fa5d7-1f3c-4168-8629-b4e42524ad91,Food,West,Credit Card,Shipped,25-34,Standard,T-shirt,Yes,Online,2024-11-05,461.18,5,37.36,21.91,48
08e8e0f1-86ce-4615-8308-ef5f88648352,Electronics,East,PayPal,Shipped,25-34,Standard,T-shirt,Yes,Online,2024-11-05,407.15,3,34.05,41.26,20
396b0d65-8dd9-4a6d-9242-3795a8841298,Toys,West,Cash,Pending,35-44,Standard,T-shirt,No,Online,2024-11-03,195.41,9,33.02,43.02,16
2985a924-a426-42c6-8769-b3cf4f95437a,Clothing,South,PayPal,Completed,55+,Same Day,Food Item,Yes,In-store,2024-11-02,96.94,5,27.71,34.9,38
a6263315-8b71-4223-8210-e34308ba9533,Food,East,Cash,Completed,55+,Express,Laptop,No,In-store,2024-11-01,93.42,5,42.27,37.62,1
ed94dbac-6bf3-428e-823b-5e61f439c855,Food,East,Cash,Shipped,18-24,Express,Food Item,No,In-store,2024-11-05,198.35,2,18.84,2.09,8
8a0637ca-432f-4ddb-8bff-1f4e0739abcf,Food,South,PayPal,Pending,55+,Standard,Food Item,No,Online,2024-11-01,404.35,5,28.48,5.99,30
4ff77202-6e38-40ef-b8ab-aba4e062ff9f,Furniture,East,PayPal,Shipped,45-54,Express,Food Item,No,Online,2024-11-03,397.02,4,37.3,49.42,36
46092703-38fc-4106-a982-e47e1fe73d47,Electronics,North,PayPal,Completed,45-54,Standard,Food Item,No,In-store,2024-11-05,403.65,6,6.64,14.24,41
6ba7930f-aeb2-4738-a710-bf0bd79f6ed0,Food,North,Cash,Pending,35-44,Express,Food Item,No,Online,2024-11-02,287.48,6,14.86,48.96,16
b6a43afb-1974-42bb-a381-1fb2329e9d58,Food,South,Cash,Pending,45-54,Standard,Chair,Yes,In-store,2024-11-01,352.08,1,9.61,12.8,37
e46436ff-8f2c-41a6-b86c-56b5de555633,Clothing,East,Credit Card,Pending,18-24,Express,Food Item,No,Online,2024-11-02,491.55,7,39.75,19.61,34
9ba3ad58-a62f-4806-a29f-5feed6061d24,Toys,North,PayPal,Completed,25-34,Express,T-shirt,Yes,Online,2024-11-02,179.89,8,33.2,13.23,41
3655f8b7-3da5-46d3-baf6-560eb03d8c35,Clothing,East,PayPal,Completed,18-24,Same Day,Food Item,No,Online,2024-11-01,384.41,3,31.84,42.21,15
f0916f3d-1b49-4d1c-88a2-8b59240e3772,Clothing,North,Cash,Pending,18-24,Standard,Laptop,No,Online,2024-11-01,281.87,8,36.81,13.54,41
d566fc6b-c68e-45a1-831f-615af72e550d,Toys,North,Credit Card,Pending,55+,Standard,Chair,No,In-store,2024-11-02,273.44,10,33.65,27.48,25
65a85b8a-04af-43c0-bdd2-afc829f5dd76,Food,East,Credit Card,Pending,45-54,Standard,Laptop,Yes,Online,2024-11-02,102.13,7,21.22,31.33,41
39c7a22e-4d22-4dba-8229-2977033944e2,Food,East,Cash,Completed,25-34,Same Day,T-shirt,No,Online,2024-11-04,168.55,3,28.26,39.55,10
c1517687-5664-4da7-a88a-300dc56777de,Electronics,West,Cash,Shipped,45-54,Express,T-shirt,Yes,In-store,2024-11-02,483.82,6,48.85,35.37,3
3f94703f-78fd-4ec9-837d-faddef5124ae,Clothing,West,PayPal,Shipped,55+,Express,Chair,Yes,In-store,2024-11-02,141.38,7,20.19,14.68,48
a69fca39-367c-4ab4-94d0-76bb720c9664,Food,East,Credit Card,Completed,45-54,Standard,Smartphone,No,Online,2024-11-03,311.2,6,25.71,14.3,24
